file,purpose
01_model_protocol.csv,"Head dimensions, selected epochs, and validation performance"
02_split_counts.csv,Exact class balance from saved split IDs
03_cue_review_counts.csv,Accepted/rejected counts and recorded visual criteria
04_cue_balance.csv,"Five pairs, both directions, exact retained counts"
05_train_test_examples.png,One real training and held-out test example per class
05_train_test_examples.svg,One real training and held-out test example per class
05_example_ids.csv,Official partition IDs for the sample grid
06_same_image_interventions.png,Same content image across interventions; style donor separately identified
06_same_image_interventions.svg,Same content image across interventions; style donor separately identified
06_intervention_ids.csv,Image and permutation provenance
07_training_curves.png,"Actual saved loss and validation accuracy, all heads overlaid"
07_training_curves.svg,"Actual saved loss and validation accuracy, all heads overlaid"
07_training_history.csv,Raw saved epoch histories; accuracy is a fraction
08_performance_comparison.csv,Clean/color/patch performance on the common 500-image subset
09_intervention_comparison.png,Absolute performance and baseline-relative sensitivity
09_intervention_comparison.svg,Absolute performance and baseline-relative sensitivity
10_shape_texture.csv,"Counts, shape bias, and coverage; 200 conflicts per model"
11_shape_coverage.png,Shape/texture/other counts with shape bias and coverage
11_shape_coverage.svg,Shape/texture/other counts with shape bias and coverage
12_direction_results.csv,Shape/texture results by content-to-style direction
13_cue_cases.png,"Content, style donor, preserved conflict, and all four predictions"
13_cue_cases.svg,"Content, style donor, preserved conflict, and all four predictions"
13_cue_case_predictions.csv,Traceable predictions for illustrated cue-conflict cases
14_translation_curves.png,Accuracy and consistency versus displacement
14_translation_curves.svg,Accuracy and consistency versus displacement
14_translation_values.csv,Source values; rate columns remain fractions
15_representation_stability.csv,Cosine stability for every required intervention family
16_stability_heatmap.png,Compact original-feature-space stability comparison
16_stability_heatmap.svg,Compact original-feature-space stability comparison
17_prediction_vs_features.png,Paired representation stability versus decision consistency
17_prediction_vs_features.svg,Paired representation stability versus decision consistency
18_mismatch_evidence.csv,Saved high-cosine changes and low-cosine unchanged decisions
19_mismatch_pairs.png,Actual paired images showing feature/decision mismatches
19_mismatch_pairs.svg,Actual paired images showing feature/decision mismatches
19_selected_mismatches.csv,Exact diagnostic case selection and metrics
20_joint_tsne.png,Saved joint embeddings; class colors and clean/transformed markers
20_joint_tsne.svg,Saved joint embeddings; class colors and clean/transformed markers
21_model_1_performance.csv,Separate performance table for ResNet-50 head
21_model_1_cue.csv,Separate cue counts for ResNet-50 head
21_model_1_translation.csv,Separate translation results for ResNet-50 head
21_model_2_performance.csv,Separate performance table for ViT-B/16 head
21_model_2_cue.csv,Separate cue counts for ViT-B/16 head
21_model_2_translation.csv,Separate translation results for ViT-B/16 head
21_model_3_performance.csv,Separate performance table for CLIP head
21_model_3_cue.csv,Separate cue counts for CLIP head
21_model_3_translation.csv,Separate translation results for CLIP head
21_model_4_performance.csv,Separate performance table for CLIP zero-shot
21_model_4_cue.csv,Separate cue counts for CLIP zero-shot
21_model_4_translation.csv,Separate translation results for CLIP zero-shot
22_clip_readout_agreement.csv,Paired head-versus-zero-shot decisions on the same image encoder
